age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
32.0,Self-emp-not-inc,267161,Bachelors,13,Divorced,Exec-managerial,Unmarried,Black,Female,0.0,0.0,30.0,United-States,<=50K
40.0,Private,439919,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Mexico,<=50K
31.0,State-gov,93589,HS-grad,9,Divorced,Protective-serv,Own-child,Other,Male,,0.0,40.0,United-States,<=50K
51.0,Private,95329,Masters,14,Divorced,Protective-serv,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,227594,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
29.0,Private,50295,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,48.0,United-States,<=50K
,Local-gov,159187,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,35.0,United-States,<=50K
59.0,Private,167963,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
32.0,Private,237903,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,0.0,0.0,,United-States,<=50K
33.0,Federal-gov,129707,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
18.0,Private,231562,HS-grad,9,Never-married,Sales,Own-child,White,Female,0.0,0.0,,United-States,<=50K
53.0,Private,195813,5th-6th,3,Married-civ-spouse,Craft-repair,Husband,Other,Male,5178.0,0.0,,Puerto-Rico,>50K
32.0,Private,190511,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
23.0,Private,260254,HS-grad,9,Never-married,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,94392,11th,7,Separated,Other-service,Unmarried,White,Female,0.0,0.0,20.0,United-States,<=50K
28.0,Federal-gov,329426,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
30.0,Private,167309,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
18.0,Private,188476,11th,7,Never-married,Exec-managerial,Own-child,White,Male,0.0,0.0,20.0,United-States,<=50K
34.0,Private,456399,Assoc-acdm,12,Never-married,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,184303,Some-college,10,Separated,Priv-house-serv,Other-relative,White,Female,0.0,0.0,30.0,El-Salvador,<=50K
54.0,Private,96710,HS-grad,9,Married-civ-spouse,Priv-house-serv,Other-relative,Black,Female,0.0,0.0,,United-States,<=50K
37.0,Private,160035,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,287190,Assoc-acdm,12,Divorced,Adm-clerical,Unmarried,Black,Male,,0.0,35.0,United-States,<=50K
48.0,Private,107231,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999.0,0.0,50.0,United-States,>50K
72.0,Private,38360,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0.0,0.0,16.0,United-States,<=50K
45.0,Federal-gov,232997,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,65.0,United-States,>50K
45.0,Self-emp-inc,145290,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
45.0,Local-gov,257855,11th,7,Married-civ-spouse,Other-service,Husband,Black,Male,0.0,0.0,50.0,United-States,<=50K
20.0,Private,347530,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0.0,0.0,25.0,United-States,<=50K
64.0,,178556,10th,6,Married-civ-spouse,,Husband,White,Male,0.0,0.0,56.0,United-States,>50K
45.0,Private,155659,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
45.0,Private,135044,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
20.0,,193416,Some-college,10,Never-married,,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,65353,Some-college,10,Divorced,Transport-moving,Own-child,White,Male,3325.0,0.0,55.0,United-States,<=50K
26.0,Federal-gov,352768,HS-grad,9,Divorced,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
28.0,Private,177119,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,80.0,,<=50K
60.0,Private,121127,10th,6,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
31.0,Local-gov,206297,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,,0.0,40.0,United-States,>50K
19.0,Private,84747,HS-grad,9,Never-married,Sales,Own-child,White,Female,0.0,0.0,24.0,United-States,<=50K
27.0,Private,57052,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2885.0,0.0,40.0,United-States,<=50K
62.0,Local-gov,291175,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0.0,0.0,48.0,United-States,<=50K
,Private,228583,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0.0,0.0,40.0,Columbia,<=50K
48.0,Private,125892,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,Poland,<=50K
25.0,Private,154941,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
25.0,State-gov,262664,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
37.0,Private,162494,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
81.0,,106765,Some-college,10,Widowed,,Unmarried,White,Female,0.0,0.0,4.0,United-States,<=50K
41.0,State-gov,227734,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,3464.0,0.0,40.0,United-States,<=50K
22.0,Private,283499,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
47.0,Self-emp-inc,186410,Prof-school,15,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,60.0,United-States,>50K
,Private,33887,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,278151,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,113466,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
23.0,Private,172047,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
37.0,Private,355856,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0.0,0.0,40.0,Cambodia,>50K
26.0,State-gov,28366,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,,0.0,40.0,United-States,<=50K
39.0,Private,29814,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,,0.0,40.0,United-States,<=50K
47.0,Private,227310,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
49.0,Private,139268,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
63.0,Private,106023,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
18.0,Private,294253,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0.0,0.0,27.0,United-States,<=50K
29.0,Private,152461,Bachelors,13,Never-married,Prof-specialty,Unmarried,White,Female,14344.0,0.0,50.0,United-States,>50K
35.0,Private,336793,Bachelors,13,Never-married,Adm-clerical,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
34.0,Private,24266,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7688.0,0.0,40.0,United-States,>50K
43.0,Private,110970,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,40.0,United-States,>50K
,Private,188540,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
63.0,Private,187635,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Private,175614,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,40.0,United-States,>50K
42.0,Private,161510,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
43.0,Private,233130,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,0.0,,20.0,United-States,<=50K
26.0,Local-gov,386949,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,25.0,United-States,<=50K
55.0,Private,104996,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,,0.0,50.0,United-States,<=50K
25.0,Private,47353,10th,6,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
23.0,Private,217961,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,,0.0,15.0,United-States,<=50K
37.0,Self-emp-not-inc,326400,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
62.0,Private,109463,Some-college,10,Separated,Sales,Unmarried,White,Female,0.0,1617.0,33.0,United-States,<=50K
18.0,Private,236262,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,12.0,United-States,<=50K
,,103654,HS-grad,9,Widowed,,Not-in-family,White,Female,0.0,0.0,20.0,United-States,<=50K
36.0,Private,99374,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
27.0,,224421,Some-college,10,Divorced,,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,33088,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,287008,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024.0,0.0,55.0,Germany,>50K
33.0,Private,93056,7th-8th,4,Divorced,Handlers-cleaners,Own-child,White,Male,,0.0,40.0,United-States,<=50K
47.0,Private,386136,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0.0,35.0,United-States,<=50K
20.0,,195767,HS-grad,9,Never-married,,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
51.0,Self-emp-not-inc,149220,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,75.0,United-States,<=50K
47.0,Private,316101,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,112181,Bachelors,13,Married-civ-spouse,Sales,Wife,White,Female,0.0,0.0,12.0,United-States,>50K
38.0,Private,174717,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,,,United-States,>50K
,Local-gov,353270,Assoc-voc,11,Never-married,Craft-repair,Own-child,White,Female,,0.0,40.0,United-States,<=50K
52.0,Self-emp-not-inc,185407,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
37.0,Self-emp-not-inc,137527,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0.0,2559.0,60.0,United-States,>50K
22.0,Private,85389,HS-grad,9,Never-married,Tech-support,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
,Private,129059,Some-college,10,Never-married,Sales,Own-child,Black,Male,,0.0,,United-States,<=50K
31.0,Private,159187,HS-grad,9,Divorced,Transport-moving,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
24.0,Private,182276,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,25.0,United-States,<=50K
20.0,,174461,HS-grad,9,Never-married,,Own-child,White,Female,0.0,0.0,5.0,United-States,<=50K
42.0,Private,87284,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,35.0,United-States,>50K
45.0,Private,38950,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
26.0,Private,31290,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
26.0,Private,120238,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
31.0,Private,117526,Some-college,10,Never-married,Farming-fishing,Not-in-family,White,Female,0.0,0.0,45.0,United-States,<=50K
50.0,Private,268553,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
54.0,Private,155433,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0.0,0.0,35.0,United-States,<=50K
47.0,Private,163814,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
28.0,Private,36601,Some-college,10,Never-married,Other-service,Unmarried,White,Female,0.0,0.0,35.0,United-States,<=50K
68.0,Private,75913,12th,8,Widowed,Sales,Not-in-family,White,Female,0.0,0.0,30.0,United-States,<=50K
48.0,Private,276664,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,1902.0,,United-States,>50K
32.0,Private,191777,Masters,14,Never-married,Adm-clerical,Not-in-family,Black,Female,0.0,0.0,40.0,United-States,<=50K
38.0,Private,204501,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,55.0,United-States,>50K
46.0,Self-emp-inc,168796,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,,United-States,<=50K
30.0,Self-emp-inc,127651,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,1887.0,48.0,United-States,>50K
90.0,Local-gov,187749,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,,0.0,20.0,Philippines,<=50K
57.0,Private,141570,Masters,14,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,1977.0,40.0,United-States,>50K
35.0,Private,63021,Some-college,10,Divorced,Sales,Not-in-family,White,Female,,0.0,,United-States,<=50K
42.0,State-gov,160369,HS-grad,9,Never-married,Protective-serv,Not-in-family,White,Male,0.0,0.0,40.0,United-States,>50K
54.0,Federal-gov,27432,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
42.0,Private,152568,HS-grad,9,Widowed,Sales,Unmarried,Amer-Indian-Eskimo,Female,0.0,0.0,40.0,United-States,<=50K
41.0,Private,46870,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
47.0,State-gov,118447,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,60.0,United-States,>50K
,Self-emp-not-inc,60981,11th,7,Never-married,Other-service,Own-child,White,Female,0.0,0.0,4.0,United-States,<=50K
63.0,,247986,Prof-school,15,Married-civ-spouse,,Husband,White,Male,0.0,0.0,30.0,United-States,>50K
21.0,Private,199419,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,99385,Bachelors,13,Separated,Exec-managerial,Unmarried,White,Female,0.0,0.0,40.0,United-States,<=50K
72.0,,303588,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0.0,0.0,20.0,United-States,<=50K
34.0,State-gov,318982,Masters,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,1848.0,40.0,United-States,>50K
47.0,Private,169092,Masters,14,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,50.0,United-States,>50K
59.0,Self-emp-not-inc,223131,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,60.0,United-States,<=50K
59.0,Local-gov,171328,HS-grad,9,Separated,Protective-serv,Other-relative,Black,Female,0.0,2339.0,,United-States,<=50K
46.0,Private,328216,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
62.0,Self-emp-inc,354075,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
,Private,140798,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
47.0,Private,184005,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Female,3325.0,0.0,45.0,United-States,<=50K
46.0,Private,149949,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
50.0,Local-gov,226497,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0.0,52.0,United-States,>50K
43.0,Private,106760,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,50.0,Canada,>50K
,Self-emp-not-inc,40200,Some-college,10,Widowed,Craft-repair,Not-in-family,Black,Male,0.0,0.0,35.0,United-States,<=50K
26.0,Private,152035,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Private,342709,HS-grad,9,Married-spouse-absent,Craft-repair,Other-relative,White,Male,0.0,0.0,40.0,United-States,<=50K
42.0,Private,126098,HS-grad,9,Separated,Craft-repair,Unmarried,Black,Female,0.0,0.0,40.0,United-States,<=50K
17.0,Private,184198,11th,7,Never-married,Sales,Own-child,White,Female,0.0,0.0,13.0,United-States,<=50K
29.0,Local-gov,205262,Some-college,10,Never-married,Adm-clerical,Not-in-family,Other,Male,0.0,0.0,40.0,Ecuador,<=50K
40.0,Private,234633,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
21.0,,124242,Some-college,10,Never-married,,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
40.0,Private,272343,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,>50K
68.0,Private,351711,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
40.0,Private,289309,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0.0,0.0,48.0,United-States,<=50K
23.0,Private,112819,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
52.0,Private,72743,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0.0,0.0,50.0,United-States,<=50K
63.0,Private,125954,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,2174.0,0.0,40.0,United-States,<=50K
51.0,Self-emp-inc,231230,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,25.0,United-States,<=50K
19.0,Private,195985,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
42.0,Self-emp-not-inc,29320,Prof-school,15,Divorced,Prof-specialty,Unmarried,White,Male,0.0,0.0,60.0,United-States,>50K
26.0,Private,263200,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
50.0,Private,143953,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,65.0,United-States,>50K
,Private,113555,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,7298.0,0.0,50.0,United-States,>50K
27.0,Federal-gov,38645,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Local-gov,348172,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,7298.0,0.0,40.0,United-States,>50K
45.0,Private,138626,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,2174.0,0.0,50.0,United-States,<=50K
21.0,Private,170456,Some-college,10,Never-married,Other-service,Own-child,White,Male,0.0,,35.0,Italy,<=50K
54.0,Private,278329,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,0.0,0.0,43.0,United-States,<=50K
27.0,Private,193898,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,52.0,United-States,<=50K
57.0,Private,201991,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0.0,40.0,United-States,<=50K
22.0,Private,341610,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0.0,0.0,35.0,,<=50K
23.0,Federal-gov,41356,Assoc-acdm,12,Never-married,Exec-managerial,Unmarried,White,Female,0.0,0.0,32.0,United-States,<=50K
50.0,Private,266529,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
69.0,Private,203313,HS-grad,9,Widowed,Other-service,Not-in-family,White,Female,991.0,0.0,18.0,United-States,<=50K
59.0,,154236,HS-grad,9,Married-civ-spouse,,Wife,White,Female,7688.0,0.0,40.0,United-States,>50K
23.0,Private,111450,Some-college,10,Never-married,Adm-clerical,Other-relative,Black,Male,0.0,0.0,22.0,United-States,<=50K
36.0,Private,297449,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,,0.0,40.0,United-States,>50K
62.0,Private,232308,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
45.0,Private,34419,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0.0,30.0,United-States,<=50K
27.0,Private,190525,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298.0,0.0,55.0,United-States,>50K
30.0,Private,175931,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
35.0,Local-gov,79649,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,50.0,United-States,<=50K
58.0,Private,177368,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
,Private,464103,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
45.0,Local-gov,119199,Assoc-acdm,12,Divorced,Prof-specialty,Unmarried,White,Female,0.0,0.0,48.0,United-States,<=50K
,Private,42972,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0.0,0.0,22.0,United-States,>50K
28.0,Private,110981,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0.0,0.0,,United-States,<=50K
20.0,Self-emp-not-inc,211466,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0.0,0.0,80.0,United-States,<=50K
54.0,Private,175262,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
25.0,Private,164488,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,0.0,,40.0,United-States,<=50K
55.0,Private,211678,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,45.0,United-States,<=50K
60.0,Local-gov,124987,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,7298.0,0.0,40.0,United-States,>50K
46.0,Local-gov,175754,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,1876.0,60.0,United-States,<=50K
21.0,Private,126613,Some-college,10,Never-married,Other-service,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
51.0,Self-emp-not-inc,306784,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,,0.0,30.0,United-States,<=50K
28.0,Private,185957,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,40.0,United-States,<=50K
46.0,Private,116666,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
62.0,Self-emp-inc,236096,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Private,178780,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,,49.0,United-States,>50K
28.0,Federal-gov,183151,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0.0,60.0,United-States,<=50K
27.0,Private,108431,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0.0,0.0,40.0,United-States,<=50K
35.0,State-gov,318891,Assoc-acdm,12,Widowed,Exec-managerial,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
30.0,Private,310889,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,50.0,United-States,>50K
24.0,Private,329852,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
56.0,Private,201344,Some-college,10,Widowed,Craft-repair,Unmarried,White,Female,0.0,0.0,38.0,United-States,<=50K
